,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"In My Feelings",Drake,5987395,https://open.spotify.com/track/0bAkKNCQfWkexHFn7fIKns
2,"Don’t Matter To Me",Drake,4818746,https://open.spotify.com/track/36ONiya0OANYknz0GgJmwB
3,SAD!,XXXTENTACION,4091190,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
4,Nonstop,Drake,3848915,https://open.spotify.com/track/2Vx8E3K5icPZR7OCklWBXX
5,"Girls Like You (feat. Cardi B)","Maroon 5",3815473,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
6,"Lucid Dreams","Juice WRLD",3676962,https://open.spotify.com/track/0X8DcetL926BYiPJYstJTc
7,"I Like It","Cardi B",3633336,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
8,"One Kiss (with Dua Lipa)","Calvin Harris",3449832,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6
9,"Better Now","Post Malone",3392752,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
10,"Solo (feat. Demi Lovato)","Clean Bandit",3227812,https://open.spotify.com/track/6kPJZM97LwdG9QIsT7khp6
11,"Taste (feat. Offset)",Tyga,2890447,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy
12,"God's Plan",Drake,2856261,https://open.spotify.com/track/2VWbHHhWnMzKWPUs4IEEW9
13,"Nice For What",Drake,2767301,https://open.spotify.com/track/0HVv5bEOiI9a0QfgcASXpX
14,Moonlight,XXXTENTACION,2700917,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
15,"Jackie Chan",Tiësto,2650250,https://open.spotify.com/track/4kWO6O1BUXcZmaxitpVUwp
16,Youngblood,"5 Seconds of Summer",2649266,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
17,"Ocean (feat. Khalid)","Martin Garrix",2569950,https://open.spotify.com/track/3nc420PXjTdBV5TN0gCFkS
18,"Te Boté - Remix","Nio Garcia",2489059,https://open.spotify.com/track/3V8UKqhEK5zBkBb6d6ub8i
19,"Back To You","Selena Gomez",2454323,https://open.spotify.com/track/514rhnksEwHUh6LxXsQ4Y9
20,"no tears left to cry","Ariana Grande",2360630,https://open.spotify.com/track/5SxkdsY1ufZzoq9iXceLw9
21,"I'm Upset",Drake,2325354,https://open.spotify.com/track/1iSZPndzmY6NvL1jAtIvY1
22,changes,XXXTENTACION,2161405,https://open.spotify.com/track/7AFASza1mXqntmGtbxXprO
23,Rise,"Jonas Blue",2116329,https://open.spotify.com/track/3u1S1OmAUhx5DRlLrXqyp3
24,"Jocelyn Flores",XXXTENTACION,2085735,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
25,"Sin Pijama","Becky G",1976745,https://open.spotify.com/track/2ijef6ni2amuunRoKTlgww
26,"Mob Ties",Drake,1920162,https://open.spotify.com/track/7txPE73wHbuXYkM1h8zNrG
27,Emotionless,Drake,1880265,https://open.spotify.com/track/1v1IXPXl73Z7zy6f5tUa9n
28,X,"Nicky Jam",1836287,https://open.spotify.com/track/39N9RPD9MRb5WmoLzNzPeA
29,"Born To Be Yours",Kygo,1821519,https://open.spotify.com/track/0kHyKhJMukHEPfeh8s7rdM
30,Nevermind,"Dennis Lloyd",1781477,https://open.spotify.com/track/63SevszngYpZOwf63o61K4
31,"Psycho (feat. Ty Dolla $ign)","Post Malone",1774769,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C
32,"Bed (feat. Ariana Grande)","Nicki Minaj",1746551,https://open.spotify.com/track/1ZEm9cJC05rawV2tptNfTS
33,"rockstar (feat. 21 Savage)","Post Malone",1704802,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
34,2002,Anne-Marie,1647324,https://open.spotify.com/track/6SFStUDQZNaGPKWOx9ZiJB
35,FRIENDS,Marshmello,1605421,https://open.spotify.com/track/08bNPGLD8AhKpnnERrAc6G
36,Flames,"David Guetta",1556948,https://open.spotify.com/track/33IOhptvC2Qoy2UhjiHXLV
37,"Yes Indeed","Lil Baby",1546376,https://open.spotify.com/track/6vN77lE9LK6HP2DewaN6HZ
38,APESHIT,"The Carters",1518069,https://open.spotify.com/track/0E6PsO3ymCfUh7pJQjBgkj
39,Elevate,Drake,1488819,https://open.spotify.com/track/4uloft7ZE54WflsuqFmjC7
40,"The Middle",Zedd,1443967,https://open.spotify.com/track/09IStsImFySgyp0pIQdqAc
41,"lovely (with Khalid)","Billie Eilish",1436968,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
42,"Fuck Love (feat. Trippie Redd)",XXXTENTACION,1421615,https://open.spotify.com/track/7AQim7LbvFVZJE3O8TYgf2
43,"La Cintura","Alvaro Soler",1413598,https://open.spotify.com/track/19MBk3PbNFE36wqIqkMq9H
