artist,song,index,acousticness,danceability,duration_ms,energy,genre,instrumentalness,key,liveness,loudness,mode,popularity,speechiness,tempo,time_signature,valence,0
2 Chainz,Bigger Than You (feat. Drake & Quavo),0,0.247,0.888,225893.0,0.515,"['hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap music']",0.0,1.0,0.446,-6.246,1.0,83.0,0.271,141.009,4.0,0.264,
2 Chainz,PROUD,2,0.738,0.781,234667.0,0.81,"['hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap music']",0.0,10.0,0.144,-4.301,0.0,83.0,0.356,173.949,4.0,0.908,
2 Chainz,It's A Vibe,1,0.0263,0.841,210200.0,0.516,"['hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap music']",0.00072,11.0,0.111,-7.461,0.0,83.0,0.118,145.995,4.0,0.556,
2 Chainz,4 AM,0,0.122,0.796,255560.0,0.513,"['hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap music']",0.0,6.0,0.15,-7.14,0.0,83.0,0.452,75.018,4.0,0.235,
21 Savage,Mad Stalkers,3,0.147,0.9,202667.0,0.365,"['pop', 'rap', 'trap music']",0.185,10.0,0.179,-6.395,0.0,84.0,0.235,135.003,4.0,0.136,
21 Savage,Ric Flair Drip (& Metro Boomin),2,0.149,0.88,172800.0,0.428,"['pop', 'rap', 'trap music']",5.07e-05,9.0,0.114,-8.28,1.0,84.0,0.206,100.007,4.0,0.333,
21 Savage,Nightmare,1,0.442,0.739,147987.0,0.405,"['pop', 'rap', 'trap music']",0.211,0.0,0.158,-10.897,1.0,84.0,0.0852,157.09,4.0,0.127,
21 Savage,Famous,2,0.723,0.779,234280.0,0.597,"['pop', 'rap', 'trap music']",4.47e-05,9.0,0.0508,-9.652,0.0,84.0,0.434,173.986,4.0,0.646,
21 Savage,My Choppa Hate Niggas,3,0.0974,0.862,148640.0,0.274,"['pop', 'rap', 'trap music']",0.185,0.0,0.183,-5.818,0.0,84.0,0.484,77.493,4.0,0.146,
21 Savage,Ghostface Killers,2,0.331,0.782,268933.0,0.436,"['pop', 'rap', 'trap music']",1.3e-05,2.0,0.342,-7.033,1.0,84.0,0.155,82.994,4.0,0.243,
21 Savage,X (feat. Future),1,0.373,0.835,258880.0,0.413,"['pop', 'rap', 'trap music']",0.00133,1.0,0.101,-9.81,1.0,84.0,0.396,149.004,4.0,0.111,
21 Savage,No Heart,0,0.136,0.906,235040.0,0.444,"['pop', 'rap', 'trap music']",6.44e-05,4.0,0.173,-8.692,0.0,84.0,0.384,140.063,4.0,0.678,
21 Savage,Rap Saved Me,0,0.00525,0.845,257600.0,0.399,"['pop', 'rap', 'trap music']",0.74,1.0,0.102,-7.509,1.0,84.0,0.309,143.049,4.0,0.148,
21 Savage,Bank Account,1,0.0151,0.884,220307.0,0.346,"['pop', 'rap', 'trap music']",7.04e-06,8.0,0.0871,-8.228,0.0,84.0,0.351,75.016,4.0,0.376,
5 Seconds of Summer,Youngblood,2,0.0169,0.596,203418.0,0.854,"['boy band', 'pop', 'post-teen pop']",0.0,7.0,0.124,-5.114,0.0,84.0,0.463,120.274,4.0,0.152,
5 Seconds of Summer,Want You Back,1,0.00699,0.618,173082.0,0.867,"['boy band', 'pop', 'post-teen pop']",1.03e-06,0.0,0.202,-4.915,1.0,84.0,0.0439,98.03,4.0,0.579,
6LACK,PRBLMS,3,0.0317,0.579,246773.0,0.58,"['hip hop', 'indie r&b', 'pop', 'pop rap', 'rap', 'trap music']",2.06e-06,9.0,0.18,-4.679,1.0,77.0,0.1,102.848,4.0,0.106,
6ix9ine,KOODA,3,0.175,0.885,142582.0,0.641,[],0.0,1.0,0.234,-4.455,1.0,79.0,0.351,91.167,4.0,0.201,
6ix9ine,TATI,1,0.00214,0.779,154565.0,0.767,[],0.0,11.0,0.102,-5.462,0.0,79.0,0.258,91.981,4.0,0.523,
6ix9ine,KEKE,2,0.0321,0.599,151915.0,0.857,[],0.0,7.0,0.4,-5.7,1.0,79.0,0.299,187.985,4.0,0.469,
6ix9ine,GUMMO,2,0.0553,0.66,157643.0,0.775,[],0.0,2.0,0.129,-4.926,1.0,79.0,0.172,157.036,4.0,0.635,
6ix9ine,GOTTI,1,0.0524,0.728,166852.0,0.584,[],0.0,10.0,0.0658,-7.255,0.0,79.0,0.176,161.9,4.0,0.365,
6ix9ine,BILLY,0,0.175,0.764,112667.0,0.711,[],0.0,4.0,0.105,-3.818,0.0,79.0,0.288,90.076,4.0,0.774,
6ix9ine,RONDO,0,0.053,0.605,138474.0,0.789,[],0.0,9.0,0.735,-4.833,0.0,79.0,0.288,189.866,4.0,0.731,
A Boogie Wit da Hoodie,Beast Mode (feat. PnB Rock & YoungBoy Never Broke Again),3,0.035,0.611,258158.0,0.478,"['pop', 'rap', 'southern hip hop', 'trap music']",0.0,0.0,0.107,-5.839,1.0,78.0,0.107,172.076,4.0,0.138,
A Boogie Wit da Hoodie,No Promises,1,0.0164,0.759,197667.0,0.646,"['pop', 'rap', 'southern hip hop', 'trap music']",0.0,5.0,0.137,-7.815,0.0,78.0,0.304,145.005,4.0,0.242,
A Boogie Wit da Hoodie,Drowning (feat. Kodak Black),0,0.501,0.839,209269.0,0.81,"['pop', 'rap', 'southern hip hop', 'trap music']",0.0,5.0,0.117,-5.274,0.0,78.0,0.0568,129.014,4.0,0.814,
A Boogie Wit da Hoodie,Say A',2,0.391,0.831,214854.0,0.814,"['pop', 'rap', 'southern hip hop', 'trap music']",0.0,5.0,0.109,-5.18,1.0,78.0,0.474,161.041,4.0,0.846,
