,level_0,index_x,artist,song,num_weeks,index_y,acousticness,danceability,duration_ms,energy,genre,instrumentalness,key,liveness,loudness,mode,popularity,speechiness,tempo,time_signature,valence,0
0,0.0,0.0,2 chainz,4 am,12.0,0,0.122,0.7959999999999999,255560.0,0.513,"['hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap music']",0.0,6.0,0.15,-7.14,0.0,83.0,0.452,75.018,4.0,0.235,
2,2.0,2.0,2 chainz,proud,2.0,2,0.738,0.7809999999999999,234667.0,0.81,"['hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap music']",0.0,10.0,0.14400000000000002,-4.301,0.0,83.0,0.35600000000000004,173.949,4.0,0.9079999999999999,
586,,,2 chainz,bigger than you (feat. drake & quavo),,0,0.247,0.888,225893.0,0.515,"['hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap music']",0.0,1.0,0.446,-6.246,1.0,83.0,0.271,141.009,4.0,0.264,
1,1.0,1.0,2 chainz,it's a vibe,20.0,1,0.0263,0.841,210200.0,0.516,"['hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap music']",0.00072,11.0,0.111,-7.461,0.0,83.0,0.11800000000000001,145.995,4.0,0.556,
3,5.0,5.0,21 savage,bank account,28.0,1,0.0151,0.884,220307.0,0.34600000000000003,"['pop', 'rap', 'trap music']",7.04e-06,8.0,0.0871,-8.228,0.0,84.0,0.35100000000000003,75.016,4.0,0.376,
589,,,21 savage,nightmare,,1,0.442,0.7390000000000001,147987.0,0.405,"['pop', 'rap', 'trap music']",0.21100000000000002,0.0,0.158,-10.897,1.0,84.0,0.0852,157.09,4.0,0.127,
590,,,21 savage,my choppa hate niggas,,3,0.0974,0.862,148640.0,0.27399999999999997,"['pop', 'rap', 'trap music']",0.185,0.0,0.183,-5.818,0.0,84.0,0.484,77.493,4.0,0.146,
591,,,21 savage,ghostface killers,,2,0.331,0.782,268933.0,0.436,"['pop', 'rap', 'trap music']",1.3000000000000001e-05,2.0,0.342,-7.0329999999999995,1.0,84.0,0.155,82.994,4.0,0.243,
592,,,21 savage,x (feat. future),,1,0.373,0.835,258880.0,0.413,"['pop', 'rap', 'trap music']",0.00133,1.0,0.10099999999999999,-9.81,1.0,84.0,0.396,149.004,4.0,0.111,
593,,,21 savage,rap saved me,,0,0.00525,0.845,257600.0,0.39899999999999997,"['pop', 'rap', 'trap music']",0.74,1.0,0.102,-7.5089999999999995,1.0,84.0,0.309,143.049,4.0,0.14800000000000002,
587,,,21 savage,mad stalkers,,3,0.147,0.9,202667.0,0.365,"['pop', 'rap', 'trap music']",0.185,10.0,0.179,-6.395,0.0,84.0,0.235,135.003,4.0,0.136,
588,,,21 savage,ric flair drip (& metro boomin),,2,0.149,0.88,172800.0,0.428,"['pop', 'rap', 'trap music']",5.07e-05,9.0,0.114,-8.28,1.0,84.0,0.20600000000000002,100.007,4.0,0.33299999999999996,
