,artist,song,num_weeks,index_y,acousticness,danceability,duration_ms,energy,genre,instrumentalness,key,liveness,loudness,mode,popularity,speechiness,tempo,time_signature,valence,0
0,2 chainz,4:00 AM,12,0,0.122,0.796,255560,0.513,"['hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap music']",0,6,0.15,-7.14,0,83,0.452,75.018,4,0.235,
2,2 chainz,proud,2,2,0.738,0.781,234667,0.81,"['hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap music']",0,10,0.144,-4.301,0,83,0.356,173.949,4,0.908,
586,2 chainz,bigger than you (feat. drake & quavo),2,0,0.247,0.888,225893,0.515,"['hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap music']",0,1,0.446,-6.246,1,83,0.271,141.009,4,0.264,
1,2 chainz,it's a vibe,20,1,0.0263,0.841,210200,0.516,"['hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap music']",0.00072,11,0.111,-7.461,0,83,0.118,145.995,4,0.556,
3,21 savage,bank account,28,1,0.0151,0.884,220307,0.346,"['pop', 'rap', 'trap music']",7.04E-06,8,0.0871,-8.228,0,84,0.351,75.016,4,0.376,
589,21 savage,nightmare,1,1,0.442,0.739,147987,0.405,"['pop', 'rap', 'trap music']",0.211,0,0.158,-10.897,1,84,0.0852,157.09,4,0.127,
590,21 savage,my choppa hate niggas,2,3,0.0974,0.862,148640,0.274,"['pop', 'rap', 'trap music']",0.185,0,0.183,-5.818,0,84,0.484,77.493,4,0.146,
591,21 savage,ghostface killers,7,2,0.331,0.782,268933,0.436,"['pop', 'rap', 'trap music']",1.30E-05,2,0.342,-7.033,1,84,0.155,82.994,4,0.243,
592,21 savage,x (feat. future),1,1,0.373,0.835,258880,0.413,"['pop', 'rap', 'trap music']",0.00133,1,0.101,-9.81,1,84,0.396,149.004,4,0.111,
593,21 savage,rap saved me,3,0,0.00525,0.845,257600,0.399,"['pop', 'rap', 'trap music']",0.74,1,0.102,-7.509,1,84,0.309,143.049,4,0.148,
587,21 savage,mad stalkers,1,3,0.147,0.9,202667,0.365,"['pop', 'rap', 'trap music']",0.185,10,0.179,-6.395,0,84,0.235,135.003,4,0.136,
588,21 savage,ric flair drip (& metro boomin),30,2,0.149,0.88,172800,0.428,"['pop', 'rap', 'trap music']",5.07E-05,9,0.114,-8.28,1,84,0.206,100.007,4,0.333,
5,21 savage,no heart,5,0,0.136,0.906,235040,0.444,"['pop', 'rap', 'trap music']",6.44E-05,4,0.173,-8.692,0,84,0.384,140.063,4,0.678,
4,21 savage,famous,1,2,0.723,0.779,234280,0.597,"['pop', 'rap', 'trap music']",4.47E-05,9,0.0508,-9.652,0,84,0.434,173.986,4,0.646,
7,5 seconds of summer,youngblood,5,2,0.0169,0.596,203418,0.854,"['boy band', 'pop', 'post-teen pop']",0,7,0.124,-5.114,0,84,0.463,120.274,4,0.152,
6,5 seconds of summer,want you back,1,1,0.00699,0.618,173082,0.867,"['boy band', 'pop', 'post-teen pop']",1.03E-06,0,0.202,-4.915,1,84,0.0439,98.03,4,0.579,
12,6ix9ine,kooda,8,3,0.175,0.885,142582,0.641,[],0,1,0.234,-4.455,1,79,0.351,91.167,4,0.201,
13,6ix9ine,rondo,1,0,0.053,0.605,138474,0.789,[],0,9,0.735,-4.833,0,79,0.288,189.866,4,0.731,
14,6ix9ine,tati,5,1,0.00214,0.779,154565,0.767,[],0,11,0.102,-5.462,0,79,0.258,91.981,4,0.523,
594,6ix9ine,keke,8,2,0.0321,0.599,151915,0.857,[],0,7,0.4,-5.7,1,79,0.299,187.985,4,0.469,
9,6ix9ine,billy,8,0,0.175,0.764,112667,0.711,[],0,4,0.105,-3.818,0,79,0.288,90.076,4,0.774,
11,6ix9ine,gummo,19,2,0.0553,0.66,157643,0.775,[],0,2,0.129,-4.926,1,79,0.172,157.036,4,0.635,
10,6ix9ine,gotti,1,1,0.0524,0.728,166852,0.584,[],0,10,0.0658,-7.255,0,79,0.176,161.9,4,0.365,
8,6lack,prblms,8,3,0.0317,0.579,246773,0.58,"['hip hop', 'indie r&b', 'pop', 'pop rap', 'rap', 'trap music']",2.06E-06,9,0.18,-4.679,1,77,0.1,102.848,4,0.106,
596,a boogie wit da hoodie,drowning (feat. kodak black),21,0,0.501,0.839,209269,0.81,"['pop', 'rap', 'southern hip hop', 'trap music']",0,5,0.117,-5.274,0,78,0.0568,129.014,4,0.814,
